,county_id,proj_X,proj_Y,new_pct_dem,sex_ratio,pct_black,pct_hisp,pct_bach,median_income,pct_65_over,pct_age_18_29,gini,pct_manuf,ln_pop_den,pct_3rd_party,turn_out,pct_fb,pct_uninsured
0,17051,597980.1820641439,1796862.5622479173,18.479910940188237,113.6,4.7,1.9,11.3,46650,18.8,14.899142128448874,0.4373,14.9,3.392748324848488,1.7402545743834483,59.06607929515418,1.3,8.2
1,17107,559815.8133332281,1920478.633010303,29.593094944512934,97.2,6.9,3.4,19.9,57308,18.0,17.256835499775885,0.4201,12.4,3.847162901233301,2.3920565668722693,57.3957343925395,1.6,4.5
2,17165,650277.214894978,1660710.223304509,25.605949320602285,96.9,2.6,1.8,19.2,44090,19.9,13.586730015837293,0.4692,8.7,4.128731000289021,1.5723838785469006,59.078532913352205,1.0,4.2
3,17097,654006.8406978017,2174577.2580978223,62.27588775005647,99.8,6.8,21.7,45.3,89427,13.7,15.823132180426047,0.4847,16.3,7.3085816116653755,1.9603383835512296,71.15644636176452,18.7,6.8
4,17127,640398.9862581452,1599902.4905404611,25.66200535554894,89.5,5.8,2.9,13.9,47481,20.8,12.370771502918632,0.4097,7.4,4.0677875626122955,1.3356817848231397,62.372974457566606,1.0,5.4
5,17017,486680.6350415132,1898795.867775504,30.8206106870229,99.7,5.2,18.9,15.1,52373,17.3,13.687665092451773,0.4227,21.1,3.4872913797799785,1.4481850667669716,62.07822533566842,11.1,5.5
6,18069,877477.7609167923,2028454.2653289018,24.45121250430985,97.2,1.0,2.5,20.1,53632,16.9,15.842019857531836,0.3876,26.6,4.541548156324586,2.394974479780132,63.23461606667848,1.5,7.8
7,18181,763716.7848057741,2007675.634715869,27.59122759122759,99.8,0.5,8.4,16.4,54576,19.5,13.280053004265184,0.39399999999999996,25.2,3.862581139149544,1.5851692638366388,62.60021304030947,4.2,9.5
8,18075,922625.7125025855,1989459.8094323776,23.241221189815374,100.6,0.4,3.1,11.4,47658,17.3,14.644913627639156,0.4177,32.7,3.994004997455853,2.056494504195716,54.73187140177242,1.4,8.9
9,18145,867917.4632999202,1880234.3719341608,25.63932417947016,96.9,1.2,4.2,18.7,60404,16.7,13.78999954993474,0.4057,22.0,4.678623495383884,2.0009004051823376,59.54309882647286,2.5,6.9
10,18153,734789.5872063588,1818234.566376101,24.344188150158296,114.7,4.0,1.7,12.1,50245,17.3,15.494452484322238,0.4296,16.0,3.830296162382196,1.6677785190126748,54.13180860668071,1.0,9.8
11,18157,765229.2235473059,1967197.84706202,50.31322739159171,104.3,5.3,8.3,38.7,53130,11.1,32.15611345162957,0.4703,17.2,5.942534347162205,2.5892957115664474,52.75251033668045,12.0,7.9
12,18057,839452.6868478564,1939069.342998286,46.52668480921374,95.3,4.0,4.0,59.3,98173,11.9,12.841168988323115,0.4444,11.5,6.6886283707959056,2.0732065629204266,86.30194269343524,8.1,4.4
13,18005,862736.4622577258,1843887.6011112845,36.59461294703486,99.7,1.9,6.8,33.5,63431,16.0,15.733320401062064,0.4298,34.2,5.304828403983628,2.458948530426386,64.09303970991421,10.3,8.6
14,18049,810487.3750586051,2045816.7273609282,25.406730554936484,97.2,0.9,5.2,15.8,52034,18.9,13.331011146496813,0.4239,29.2,3.991953183916914,1.8913304908713235,61.004401760704276,3.0,10.5
15,18113,876272.4599828202,2092446.4810017885,24.7149297268629,101.0,0.5,10.3,13.7,56789,15.2,14.490801161958489,0.4006,41.3,4.734477918105821,1.7457008858780545,56.30538113960449,4.9,8.6
16,18019,887678.8895946145,1764443.329285165,40.68462500660665,95.3,6.7,5.4,21.2,55630,15.4,14.885800853167622,0.4229,16.5,5.732648829384417,1.9146693393699448,65.8950125256206,3.6,7.2
17,18063,804303.9327728724,1901344.0201021056,37.73349072981043,99.7,7.0,3.9,37.0,81933,13.3,13.787629961110873,0.3918,12.9,5.9922772276465945,2.3716174227444764,74.08073925889965,5.0,6.1
18,18053,867439.2998909573,1992033.911040261,30.17923036373221,91.2,7.2,4.3,17.9,44356,18.7,18.690182387287066,0.4197,17.2,5.076970909825682,2.212894436466739,52.12559737443141,1.6,8.6
19,18071,854346.8640149221,1809222.166335348,22.81380919552421,98.5,1.1,7.0,16.7,51250,15.9,13.617262918796134,0.4209,30.0,4.447361917057413,1.9804553487888448,60.10184635571245,4.7,8.4
20,18119,781546.168467905,1847664.466330168,24.93303111477437,104.3,0.5,1.3,13.1,49543,19.0,12.263018958483322,0.4043,22.5,3.9828931286005167,1.9991922455573463,60.71603727317313,1.1,10.9
21,18183,872252.5676267275,2062821.485240853,24.766027140851666,98.7,0.4,2.1,20.7,61741,17.6,13.379780610732286,0.41100000000000003,25.7,4.603882633439164,2.6201868307131453,68.06234007908816,1.4,7.7
22,18023,801278.1690775155,1961007.8564181672,26.474990153603787,99.1,0.8,15.9,16.3,54286,16.2,14.306076286679268,0.3786,27.2,4.379147718366413,1.9615414317707969,58.45521849042976,6.9,10.1
23,18161,939967.3237313444,1899806.2437171848,21.495327102803746,95.8,0.2,1.8,18.5,50375,18.8,14.269647124982429,0.3826,14.9,3.7612936871616363,1.693942004019522,63.48888078745899,2.0,9.6
24,18029,942100.8955514248,1845882.291764854,21.80667894610395,99.3,0.9,1.3,22.9,68658,17.0,13.510782352108974,0.4032,17.4,5.0812025097870865,1.6113146594177286,66.78330877709956,1.2,5.0
25,18093,816970.0765528352,1798036.2032105443,24.127030444509288,97.5,0.4,1.7,15.8,53610,19.8,13.0411873188724,0.4055,21.8,4.612000565514211,2.202140309155776,59.67416910282972,1.4,8.4
