"","county_id","pct_dem","pct_bach","sex_ratio","log_pop_den"
"1",17051,18.4799109401882,11.3,113.6,3.39274832484849
"2",17107,29.5930949445129,19.9,97.2,3.8471629012333
"3",17165,25.6059493206023,19.2,96.9,4.12873100028902
"4",17097,62.2758877500565,45.3,99.8,7.30858161166537
"5",17127,25.6620053555489,13.9,89.5,4.06778756261229
"6",17017,30.8206106870229,15.1,99.7,3.48729137977998
"7",18069,24.4512125043099,20.1,97.2,4.54154815632459
"8",18181,27.5912275912276,16.4,99.8,3.86258113914954
"9",18075,23.2412211898154,11.4,100.6,3.99400499745585
"10",18145,25.6393241794702,18.7,96.9,4.67862349538388
"11",18153,24.3441881501583,12.1,114.7,3.8302961623822
"12",18157,50.3132273915917,38.7,104.3,5.9425343471622
"13",18057,46.5266848092137,59.3,95.3,6.68862837079591
"14",18005,36.5946129470349,33.5,99.7,5.30482840398363
"15",18049,25.4067305549365,15.8,97.2,3.99195318391691
"16",18113,24.7149297268629,13.7,101,4.73447791810582
"17",18019,40.6846250066067,21.2,95.3,5.73264882938442
"18",18063,37.7334907298104,37,99.7,5.99227722764659
"19",18053,30.1792303637322,17.9,91.2,5.07697090982568
"20",18071,22.8138091955242,16.7,98.5,4.44736191705741
"21",18119,24.9330311147744,13.1,104.3,3.98289312860052
"22",18183,24.7660271408517,20.7,98.7,4.60388263343916
"23",18023,26.4749901536038,16.3,99.1,4.37914771836641
"24",18161,21.4953271028037,18.5,95.8,3.76129368716164
"25",18029,21.806678946104,22.9,99.3,5.08120250978709
"26",18093,24.1270304445093,15.8,97.5,4.61200056551421
"27",18123,37.4707533926065,16.1,114.4,3.89939506985629
"28",18129,29.277099177998,21.9,99.4,4.10710794434834
"29",18015,23.8882921589688,16.7,101,3.98127865265129
"30",18045,20.9302325581395,14.9,101,3.72200291885284
"31",18149,26.1961249505733,11.9,99.1,4.29714102835219
"32",18055,23.3853160364339,14.9,98.7,4.07720094286805
"33",19011,35.913140311804,22.1,99.5,3.57418649280541
"34",19061,48.3957370555503,30.8,97.3,5.06055881976841
"35",19151,24.7808764940239,15,95.4,2.46452970496522
"36",19177,23.3644859813084,14.4,105.2,2.67693454474216
"37",19003,27.7647058823529,15.6,99.5,2.15553001912784
"38",19009,31.7804154302671,17.1,98.9,2.53212947115051
"39",19051,25.0247035573123,19.5,97.5,2.87291154539321
"40",19093,24.118884797475,18.6,99.5,2.77190505883952
"41",19135,26.577909270217,17.4,99.1,2.89009263966459
"42",19167,16.0636373310631,29.1,100.8,3.81104245938009
"43",19025,28.4442724458204,18.7,107.9,2.83462503558704
"44",19033,46.6766211604095,23.6,95.3,4.3113032924776
"45",19083,33.6651583710407,20.8,99.8,3.3982862732107
"46",19117,28.0410569993448,17,101.2,2.98374037480893
"47",19147,31.0189912191137,25.5,98.5,2.76075170075668
"48",19087,33.4183673469388,19.6,103.3,3.82233906556354
"49",19099,38.9537810895177,18.8,104.3,3.92057529856053
"50",19157,43.1506162942179,26.1,92.6,3.44404452383355
"51",19043,35.31028649963,17.7,103.1,3.10141538214618
"52",19017,41.7168463800588,30.7,98.1,4.03536569119515
"53",19063,31.7460317460317,18.8,100.4,3.15641078131423
"54",19081,27.6627218934911,23.8,100.6,2.93592008559827
"55",19097,36.6739486619334,19.2,100.3,3.39692806055066
"56",19111,40.0085632148755,16.4,101.8,4.15572691394907
"57",19181,41.304776295907,31.9,95.8,4.46867984844586
"58",19123,25.8070269306224,22,101.2,3.65420365812435
"59",19041,30.1814058956916,22.7,97.4,3.34405317182444
"60",19055,32.0670391061452,16.6,100.8,3.38896325749672
"61",13005,13.4611242730993,10.5,95.5,3.668490570209
"62",13025,9.08972691807542,8.9,96.2,3.7366497576528
"63",13017,36.7886804060289,11.2,91.5,4.20682296277879
"64",13033,49.0998209067773,13.2,90.8,3.29488748580744
"65",13047,21.5956883392006,21.4,92.2,6.01569476227774
"66",13053,43.1157078215902,29.5,186.6,3.74307151856138
"67",13055,18.6932849364791,8.9,107.6,4.37073531877455
"68",13073,36.8913172405961,36.4,95.9,6.19276054728447
"69",13087,41.4283237996187,13.8,92.5,3.75693608134158
"70",13115,29.1945248109698,20.9,93.7,5.23460766211137
"71",13117,33.1458865108973,53.1,98.8,6.83088305537689
"72",13137,17.6386138613861,19.3,90,5.07568120256879
