"","(Intercept)","X1","X2"
"1",0.22134161510167,-0.0754491829233992,0.0128329641330823
"2",0.995233308071315,0.56049307137012,0.00867315599286008
"3",0.748323162966555,0.49080547208171,-0.00104763703303027
"4",0.490367893074025,-0.250141033149038,-0.000531830936372877
"5",-0.0997526728494739,-0.796834468107266,-0.0387376788403058
"6",-2.07505870412865,-1.5426506163171,-0.0111897681611193
"7",-2.1322777229542,-1.67889670570376,-0.0164852274675153
"8",-1.22188635195411,-1.48737617513315,-0.00817991773849249
"9",-0.698137395313419,0.524619400189803,0.0144495986357082
"10",1.02425496833712,0.834170276084881,0.00756896361512057
"11",0.595090717122914,0.481139832675486,0.00343423072252916
"12",0.387570254392442,-0.139825205409267,-0.0022879922627831
"13",-0.488935057644,-0.57762320799009,0.00599576505683792
"14",-1.74094825391026,-1.05003410000687,-0.00656773320317904
"15",-0.244050078251836,-0.884486986636237,-0.0354772922980166
"16",-0.02587711906108,-0.954455210026448,-0.00245855489524794
"17",0.177110400608693,1.31312745496108,-0.00831038921927752
"18",1.79274464796794,1.06523190271961,-0.0143897849260237
"19",1.14420400632164,0.255848283743952,-0.00831890385142891
"20",0.716883057317115,-0.428863633292377,-0.00167767094607117
"21",-0.297138972866597,-0.717744938602762,-0.00752614745031118
"22",-0.507158036905182,-0.661563382736016,0.0017878728988232
"23",0.975257130326264,-0.481578053621597,0.00184561023786685
"24",0.120619711654384,-0.589944075724902,0.0265543256778042
"25",0.72499028966629,1.86711889065466,0.00133303371824453
"26",1.6629557682303,0.861915841249674,0.0135127544397055
"27",1.24400558759571,0.121758788707773,0.00746040564721235
"28",0.596265324333143,-0.536688850416065,-0.00482319779661233
"29",0.307386961425037,-0.285008298057554,0.00399149687740831
"30",0.819180816770133,-0.0735753032109366,-0.0018375500969266
"31",0.993076515018048,-0.251351689343828,-0.00357189273212457
"32",-0.606806378939165,-0.668371088026389,-0.00427021382552585
"33",-0.142765206356451,1.94941193058883,-0.000560380379911092
"34",-0.00690825991603357,1.04570368941166,-0.00160160208590337
"35",0.099683028246449,-0.0189600391886823,-0.0165331728885664
"36",-0.499757240963201,-0.291097495102078,0.00830156048038956
"37",-0.519744405330982,-0.0624276772714603,-0.00604197057688859
"38",0.581856870541108,0.0204160057864176,0.00208104165140677
"39",0.900277537858943,-0.573337246262167,-0.000719099792410908
"40",-0.791719432400831,-0.87233576022359,-0.0144333066030131
"41",-1.00881902673913,1.73561093405284,0.01410990464347
"42",-0.109429908562057,1.03267141023092,0.0146351574749179
"43",0.0452623068492356,0.400607902799031,0.0072840767172071
"44",-1.09539836400462,0.175368324774367,0.0140960295239714
"45",-1.22118318630378,0.0106953937041936,-0.000872504068246851
"46",-0.0107633848883522,-0.295197000680969,-0.00379258586498641
"47",0.686140115828816,-0.890089207263965,0.00213225149059955
"48",-0.581617200371483,-1.52907621693652,-0.00138514142089227
"49",-0.545419392722149,1.65337086036653,0.0337920451193155
"50",0.716076095800941,1.44211502822676,0.0180393897725427
"51",0.545677600777072,0.99814381685122,8.94487618726053e-05
"52",-0.0660318802047415,0.343177655346575,-0.00437773009714563
"53",-0.168857221549513,-0.0903936740136304,0.000564483465753783
"54",-0.316903513694538,-0.58805830822145,-0.00542805317263258
"55",-0.199672343244229,-1.22780762157964,-0.00141105956773861
"56",-1.21267633327471,-1.22896959359396,-0.00808510346723799
"57",-0.0617526089218886,1.56925095932533,0.0101433084115258
"58",-0.435008497162472,1.65093474554655,0.00713645557421214
"59",-0.370399674077208,0.989927381509045,0.00672465982475491
"60",0.837304959340044,0.545310928230262,0.00843189219306698
"61",1.05797508573411,-0.0970998489551802,-0.00443045722565338
"62",0.333782905700941,-0.823872774440118,-0.00707312130133763
"63",-0.337773153129864,-0.710681069842994,-0.00748165656850919
"64",-1.70027166438275,-0.507080443180135,0.00491444600322483
