"","county_id","state_id","X","intercept","sex_ratio","pct_black","pct_hisp","pct_bach","median_income","pct_65_over","pct_age_18_29","gini","pct_manuf","ln_pop_den","pct_3rd_party","turn_out","pct_fb","pct_uninsured","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","mgwr_resid","X32","plotvar"
"127",5089,5,919,-0.385824952327043,-0.0225328708462521,0.674937499867309,0.292440551342321,0.308916814397783,-0.182639749747288,0.0681754212045732,0.02775626661053,-0.0193006721232495,-0.0240796245965929,0.21891431409799,0.0706809740022166,-0.0069015755286924,0.0160982855283322,-0.0296084909975666,0.0467776589426417,0.00737924814107468,0.0744745495745216,0.0285435002658102,0.0247206009489241,0.0187627122187985,0.0477304714222736,0.0335992504701165,0.0147391715485102,0.0271687031041952,0.0319290701075697,0.0151060064112161,0.0289772830903258,0.0153285631182543,0.0373680284154217,-0.0390638553280841,-0.522305530590068,-0.0296084909975666
"197",6079,6,324,0.730071609673439,-0.0179170522956834,0.630297854894543,0.342160187748242,0.676737703482221,-0.180002869174246,0.116032637055251,-0.095725565233763,0.129161787381454,-0.121032612748851,0.163734499877661,0.0129833343046623,0.0018500089095229,0.00761195887314176,0.141019948459514,0.124549953690592,0.00788747833849771,0.198441975820596,0.0194398905759364,0.0220568204747852,0.0179614519485504,0.0505193306831664,0.035526059897695,0.017856275529165,0.0270379851798284,0.0195394191356495,0.0152408028193611,0.0348283363765992,0.014913996082049,0.065177658073561,-0.000190177005938708,0.474720411241823,0.141019948459514
"617",17111,17,657,0.47141102592486,-0.0252272014693161,0.440468847139725,0.255345794091288,0.350485359012324,-0.182381800711355,-0.12218656319744,0.0351582987215123,-0.000733257146021308,-0.046370611134297,0.207587035860389,0.0291178217227233,-0.0278744661468372,0.0224403741736091,-0.0645516996457257,0.0609451456319177,0.00736415806670311,0.107947915221725,0.0356762031067258,0.025949386453718,0.0187838838444401,0.0712718501229819,0.0340874777075546,0.0171373938787618,0.0195277051695211,0.036156327585624,0.0143695594117675,0.0374523226862022,0.0155327562160845,0.0366336704471365,0.075443973997374,0.439705320120197,-0.0645516996457257
"920",20131,20,1265,0.023927411293578,-0.0231457337528252,0.348674006868758,0.277221500236889,0.291111196526443,-0.183583870872391,0.0270736105835749,0.0395452400050831,0.000862860816760249,-0.0509225578969186,0.35964726486465,0.0649954169715603,0.00836565450628924,0.0125195432995808,0.030297151103512,0.0640647588189676,0.00755071317384218,0.125301061729141,0.0240204699804657,0.0263812342365019,0.0186950190720621,0.0667235064996616,0.0290526016496107,0.0180297985293257,0.02624036252214,0.0317550413147662,0.0142267704206765,0.0374709935575652,0.0154623214756092,0.0444809624238401,-0.356808495811159,-0.741577397365357,0.030297151103512
"1438",28141,28,2539,-0.743272894137641,-0.0226054689146224,0.787632687764662,0.274597897109279,0.325948077120368,-0.182122596429626,0.140329328982247,0.0336697471317558,-0.034135485575853,-0.0144117349339238,0.0531615644066083,0.058543831104176,0.013826054554689,0.0224472474660044,-0.00564534909430356,0.0563655666748073,0.00734226250970804,0.0463609385411821,0.0359971434830869,0.0253868788094745,0.0188011769089162,0.0933219222433951,0.0335200820563341,0.0145009999632557,0.0200373535273877,0.0334911688966075,0.0140047200494001,0.0321555239555665,0.0153416325082157,0.0640665555900535,-0.0539387086372962,-0.507180187972221,-0.00564534909430356
"2014",39009,39,1916,0.146209111452113,-0.0237455118758324,0.492648197906867,0.293484366949812,0.4293801994497,-0.181822807926851,-0.114470653385035,0.108962656446642,0.0179045591227291,-0.00851922107731681,0.176948907589606,0.0372029771367904,0.0576233149924957,0.0286306042983808,-0.0800989644933673,0.0589782030360389,0.00735484934123126,0.101141707351762,0.040276340760558,0.026264435764812,0.0188211432039537,0.0806338722148729,0.0336727373753974,0.016801972379685,0.0198784997749812,0.0305579030829654,0.0150481065956506,0.0325709595921348,0.0155277792640693,0.0340970253340353,0.350814708885376,1.22673353527937,-0.0800989644933673
"2674",48369,48,2345,-0.873293046764497,-0.0188442364501404,0.727362215067148,0.355217005369699,0.487931952378216,-0.183264452041021,0.168400843663838,-0.034968246057546,0.0411823580080731,0.0066646428291436,0.244599805141202,0.0519725553986411,-0.0257204904384375,0.0086906271218804,-0.064824599347108,0.0764187465056158,0.00768320416209342,0.159267335585792,0.0210229899902245,0.021562151506463,0.0184357812302717,0.0568995902767069,0.033295759351769,0.0168316516165266,0.026319011401675,0.0225887267308244,0.0128405062438926,0.0285109893608339,0.0151138026961351,0.0285777433885491,-0.295457301111366,-0.782466369515018,-0.064824599347108
"2595",48211,48,NA,-0.464789664608893,-0.0208474868453992,0.68870676643511,0.32764680749881,0.381892587582097,-0.18333708683712,0.0960653596733008,-0.00407260322412717,0.00301244153994185,-0.00356267840072694,0.261222382563432,0.0600257473323253,-0.0238546099827752,0.0125881717290853,-0.0211141863857308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1007,1,1560,-0.911473119853639,-0.022349902901608,0.833678242818855,0.282119467349426,0.340864825821149,-0.182036610374466,-0.018565946999005,-0.017998168705116,-0.0434109527473528,-0.025735214378911,-0.00910353970013305,0.0586673512343368,0.0477206665530797,0.0224723847165809,0.147302566514284,0.0553712510147948,0.00735084699518335,0.024745134352309,0.0357880287026485,0.0254057125339712,0.0188101480528843,0.090242061320369,0.0310338588745496,0.0140792199840465,0.0198075270498774,0.0352907404442515,0.0141020681091301,0.033431761986662,0.0152997242471672,0.0733661195606174,-0.0903081281494998,-0.200866746044574,0.147302566514284
"138",5111,5,111,-0.597771130624189,-0.0226035377257396,0.711185781529883,0.283779747660706,0.314355010452755,-0.182360619289615,0.048308013432032,0.0120276405113807,-0.0253485810706107,-0.0158747990999704,0.155717144686208,0.0645562367682078,0.00855122175434607,0.0191530564728427,0.00225605828970024,0.055999776472253,0.00734993180923143,0.0306685965239898,0.0317189593615786,0.0246937308629629,0.0187832627420415,0.0617789771931841,0.0312014059802056,0.0148317213983562,0.0206894412993515,0.0346491073620537,0.0147663153250669,0.0322413273984675,0.015310838543756,0.0489081087230781,0.227265000966953,0.110180156027466,0.00225605828970024
"808",19105,19,1128,0.657538970761641,-0.0255621626430332,0.118732518951375,0.24754528596325,0.331088340472835,-0.182736803200717,-0.124575379225941,0.0284923634349653,-0.0022688936909363,-0.048654115521923,0.277982721697744,0.0404969482237268,0.0633468399112519,0.0171734665243177,-0.0609480451630865,0.0609768734836932,0.00741007833888587,0.117039343860827,0.0324050962135114,0.0259639807809082,0.0187597361570522,0.0721270372392104,0.0277735906122019,0.0178110506222271,0.0244153646626323,0.0317582236553473,0.013839715514582,0.0369140494044509,0.0155953703499455,0.0346256199677361,0.0347585024059415,0.741343173554217,-0.0609480451630865
"910",20111,20,86,0.0136660835728646,-0.0224250917315438,0.245104041386795,0.296157815276936,0.288939089098998,-0.183480206371897,-0.00610533722730854,0.0583442772959674,-0.0105901840217806,0.00987150937207913,0.34342967852601,0.071759113072966,-0.0085922964790899,0.0125531967127049,0.0170684641376549,0.0605966215728695,0.00753071806976429,0.114239760641511,0.022351873145579,0.0261348909904074,0.018700431268744,0.0668678873812168,0.0289670072081619,0.0179110683721565,0.0272314036944404,0.0303660023199355,0.0143119696243737,0.0350336841165312,0.0153875222854503,0.0479599138354995,0.0309711007054888,0.0227440629792492,0.0170684641376549
"940",20171,20,NA,-0.214920782833796,-0.0215371288163928,0.572162248159947,0.313036338382137,0.409928267911581,-0.183374158651095,0.0522646216235159,0.00595525119710157,0.0142901036838643,-0.0178947970585099,0.27526752532036,0.0477415162138494,-0.0479490081528194,0.0131140980122544,0.0198742398644065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1081",22003,22,1513,-0.960802495479001,-0.0211566446132536,0.803675680047633,0.356390733988665,0.294153137135467,-0.182682565052231,0.0249971638633078,-0.0330608387236964,-0.0293629820341768,-0.00466665919372615,0.153281396873871,0.0708483968821696,0.0830924232303053,0.0148403698263549,-0.00858703179275485,0.0581283232506969,0.00742610297482026,0.0363865030305924,0.0214699253217628,0.0242199436592045,0.0187800925374783,0.058959497935155,0.0332435257555323,0.0156900978413696,0.0253972293580744,0.0297577546505833,0.0149844925318769,0.0317567608729338,0.0151259922950559,0.0352568055824213,0.236263270155406,-0.331001754837719,-0.00858703179275485
"1361",27161,27,1479,0.698548160081955,-0.0268781650188931,0.343058334344387,0.227534665036111,0.334569067143025,-0.183643136820904,0.0138880151917428,0.0621021540097504,0.00551139928730345,-0.0786220847829473,0.292768604215624,0.0388532670582323,-0.0277052716476655,0.0130414638503087,0.0482362840431146,0.0770992370953874,0.00760340662463259,0.135832681851385,0.0300191156004464,0.0260659430292627,0.0187202547136289,0.0677890442777753,0.0282485218772453,0.0180222786164319,0.0255482955254955,0.0321712123286398,0.0148628476101073,0.0405435234147835,0.0157231694599238,0.0433550072066605,-0.238222180607581,-0.0823878208814331,0.0482362840431146
"1550",29203,29,2678,-0.332513316352701,-0.0230093570161843,0.580958091912378,0.280171409619403,0.322202759867761,-0.18247331878116,0.137251443638144,0.013860233124229,-0.0121788665767307,-0.00728631893999568,0.247552237342475,0.0633216973511528,0.0114222893492091,0.0181277317208841,-0.0358447099553784,0.0451008431144287,0.00735127600093742,0.0678292680643961,0.0318549911420559,0.024910104961439,0.0187727140524826,0.049321561492801,0.0328652807103896,0.0154450574133375,0.0266963890706957,0.0337817878140963,0.0142493029528488,0.0307630282665929,0.0153834813151705,0.0412323300912782,0.187486357651095,0.343191709692085,-0.0358447099553784
"1640",31039,31,2430,0.162182720089,-0.0241070494860614,0.511425923644403,0.260728972332292,0.304916267631985,-0.184257744233028,0.0328495797257353,0.0108313860142605,0.0146168782811762,-0.0997344678268366,0.344390277121986,0.0419533687369825,-0.0855395086549124,0.0121497625623181,0.208877677653816,0.0756305434387521,0.00768177646910876,0.135328665644947,0.0247999241094939,0.026249713357785,0.0186654609323338,0.0672003321014538,0.0275858222045772,0.0181624622376763,0.0259700779486828,0.0314029406936848,0.0143019139897319,0.0378143768422162,0.015562756935687,0.0448279019889365,-0.376240048185975,-0.586233620767822,0.208877677653816
"2020",39021,39,621,0.0718053591890677,-0.0240007763050394,0.637622867083354,0.281212109533985,0.399860959937151,-0.181920355498313,-0.0131826412693413,0.0828285108762848,0.0150059833513356,-0.0298045281034421,0.199389610187074,0.0357347510883561,-0.045698033681719,0.0279726771713851,0.0282866922292088,0.0648766621644285,0.00734891987822816,0.108126102433262,0.0399030543920212,0.0265871926085232,0.0188139804265274,0.0925860002576186,0.0357222972376388,0.0171868331549812,0.02185363956754,0.0350061254178411,0.0157866249267767,0.0385800670800051,0.015526171350132,0.0332616983970076,0.288880198186393,0.149619696744794,0.0282866922292088
"2078",39137,39,1899,0.121271483573031,-0.0242597515490491,0.649885176271527,0.279514613655545,0.389695851404414,-0.181969287214488,0.160518673098738,0.0649849362007749,0.0158351774621079,-0.0320420610624739,0.208769852806576,0.0343346443666371,-0.0324791915945446,0.0276669192813735,0.0097925394376509,0.0694060106442265,0.00735070920699228,0.110959925623016,0.0393484017773799,0.0261967053995743,0.0188110604351083,0.0938322771279018,0.0377255485707558,0.0174719690476295,0.0223737630790999,0.0330196254696376,0.0156938881198031,0.0374284937925733,0.0155313180604098,0.033215562742521,-0.392748432954979,-0.862969719228368,0.0097925394376509
"2546",48113,48,2406,-0.758767572688398,-0.020441963431116,0.811320843720935,0.356309206160104,0.315874201118969,-0.183422554343914,-0.0875998596629819,-0.0444929224387634,-0.0266342925570139,-0.0540894536303796,0.267975443116382,0.0769559424388925,0.0285077893900837,0.0120386054780374,-0.00668410330705065,0.0545499849904853,0.00752096040023292,0.12491439390632,0.0213625020685634,0.0250251290555162,0.0187133213378368,0.0532451633816371,0.0329857971155078,0.0149156428949203,0.0277082456232266,0.0295362171503414,0.0150305423780872,0.0296092075564552,0.015187375267547,0.0305038111231974,0.145371111759687,0.291606778502647,-0.00668410330705065
"2576",48173,48,NA,-0.713516028571727,-0.0199668607596965,0.598806236199258,0.342539842024773,0.374687197811387,-0.183206312467937,0.0950793873080265,-0.0298993830522621,1.7069717465434e-05,-0.0284711097035431,0.229327962305941,0.06226362006189,0.00836598911022118,0.0114710035726587,-0.0109332162875434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2494",48009,48,2326,-0.731403959653951,-0.0198967575561569,0.721136011524435,0.355726454509266,0.326904625995825,-0.183693015724671,0.0601306428176366,-0.0493879560889259,-0.0200913021677771,-0.00622383925781447,0.278285875335066,0.0756259857443099,-0.00162591154362066,0.0107200698827053,-0.0178511788012596,0.062036498466874,0.00759959414052527,0.11333667383279,0.0212598160476872,0.0245068305244609,0.0186462722603065,0.0708824047927806,0.0326380420268595,0.0152261091812957,0.0267218350615863,0.0275939161391176,0.0145466601160273,0.0288020901632309,0.0152141581054809,0.0285041446907821,0.0286973623824831,-0.790812953389475,-0.0178511788012596
"1512",29125,29,2249,-0.251518496790401,-0.0233605651733941,0.591305623782098,0.279142818452552,0.319445745173444,-0.182578624093158,0.143178094914017,0.0335869695041694,-0.00312679080062852,0.00251984743559944,0.300352843240916,0.0621625290332947,0.0572609015566864,0.0170254732596651,-0.0327095545645267,0.0526695312876072,0.00736264938865803,0.0902141098017014,0.0316653521004363,0.0253576970621387,0.0187641624561051,0.054208837091865,0.0331567277379774,0.0164710640311032,0.0286986117010553,0.0332924899539398,0.0139118860376434,0.0343764374112887,0.0154235531907669,0.042170224358557,0.0319144887684066,-0.102833844218374,-0.0327095545645267
"1660",31079,31,2432,-0.0483500101113553,-0.0225316535954238,0.678279823515505,0.294866861924957,0.321022973819275,-0.184539986336353,0.168016190689547,0.0195585945702461,0.0118235943677001,-0.0786138731564757,0.351722972659781,0.0397827498616201,-0.0729115342265734,0.0118683010805777,0.132173397446583,0.0678698366714274,0.00776211617838828,0.127267771969225,0.0214261014967025,0.0248068058542062,0.0186172073524319,0.0681668810324473,0.0262590862790788,0.0180281253916382,0.0246920031125201,0.0289932904345078,0.0136451839259531,0.0367738967639011,0.0154545808483958,0.0462175881307953,-0.202880028388091,-0.326339654764944,0.132173397446583
"1682",31123,31,NA,-0.0605366271912305,-0.0216151991439009,0.444339132339656,0.308839267652337,0.482280132956629,-0.183416194304242,-0.0341153837440593,-0.0454598504033515,0.0424373273802755,-0.0512283994255009,0.278665738537399,0.0251805944753409,-0.0716282176566649,0.0121888611434702,0.264354414396885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1003,1,1541,-0.886855276994767,-0.0219457957212692,0.830398828350634,0.290723548025241,0.334152605758742,-0.182095129690747,-0.0639782388994909,-0.0167192149748817,-0.0376725787928497,-0.0421972876601897,0.0555556053042178,0.0591671279499698,0.0853865313571462,0.0202125946552154,0.0500129247775899,0.0575907834544726,0.00736822747771642,0.0279085638175087,0.0315653783908573,0.0246660124281832,0.018811252648791,0.087813832338033,0.0318207136173212,0.014538592123207,0.0221076939676135,0.0325718125179004,0.0142148778067601,0.0321106518809031,0.0152159778503484,0.0513470626699286,-0.0501791959434595,-1.07187737344026,0.0500129247775899
"74",4012,4,1082,0.00470148304653393,-0.0179136084119693,0.35094361131977,0.348307117770367,0.652488115567745,-0.180961096635828,-0.0953262933904349,-0.0634425119817169,0.123244901992133,-0.07017638906611,0.158686049275172,0.0129883378221911,-0.0849178477940023,0.0075792466798287,0.395475592954759,0.0707454425484724,0.00776281229157746,0.12735031392729,0.0199881067963176,0.0225825090106122,0.0180753571977927,0.0353232302187623,0.0323504870758072,0.0175062048124612,0.0231759643090672,0.0183723873797691,0.0145864701824244,0.0291333579785506,0.0149142444736035,0.0437789843790938,-0.29937358994141,0.408914245282714,0.395475592954759
"248",8063,8,339,-0.201677141029352,-0.0199527698966021,0.459520077097683,0.337977040738518,0.563966215828739,-0.183661173093955,-0.00701920422155077,-0.0458530428333733,0.0498864371034388,-0.00786000656014703,0.301722695209709,0.0209091319043649,-0.133486669895372,0.00948545886271447,0.0542020283797703,0.081550603326298,0.00773670790075854,0.14447398497516,0.0204036676165684,0.0228166496402086,0.0184020427449123,0.0539984202955881,0.0283697467315352,0.0164397946190699,0.0243465578641331,0.0213705033316823,0.0135606362495677,0.0305367462835876,0.0151773258041039,0.031957093787033,-0.129666644681674,-0.810653155606338,0.0542020283797703
"744",18161,18,23,0.0318633850593526,-0.0238753506890182,0.689620424871682,0.272520053148495,0.397902232749174,-0.181976027442453,0.169715977499899,0.111158049451141,0.0118887074984281,-0.0252329326469623,0.199397604614741,0.0359627141325251,-0.0486970769171393,0.0274388837931477,0.0840395578418244,0.0692124855354581,0.00734010099946442,0.104713824837775,0.0398043359862791,0.0271214397021602,0.0188091710705544,0.099839271931173,0.0376794663795246,0.0171378796273735,0.0215644176555782,0.0385096694039053,0.0159134328941984,0.0391713338362586,0.0155191838340893,0.0473992229645853,-0.113714405636178,-0.0690282640327207,0.0840395578418244
"949",20189,20,1257,-0.511957469883102,-0.0196885260745604,0.807286368067839,0.343362070711779,0.496092042635661,-0.183736321401327,0.143071685397056,-0.00443909419218221,0.0243950403927324,0.0337390332573212,0.297121009874092,0.0501055269015228,-0.0926893092991247,0.0096987099769948,-0.0981896321401003,0.0578446585795394,0.00771993030415009,0.120897945979241,0.0207171923778254,0.0215785675148305,0.018490789197228,0.0603187851740641,0.0296067771184471,0.0165823954635744,0.026275933963311,0.0219442434296468,0.0129336947754592,0.0273483722732443,0.0152201722610524,0.0315181826370436,0.00268193849095355,-0.872585865223553,-0.0981896321401003
"1207",26019,26,1203,0.516107518610405,-0.0258042703154156,0.535740340624088,0.252589378296796,0.363613077075165,-0.182310409251629,0.133164540634705,0.0531502014691569,-0.000618247244951332,-0.0542176632729566,0.207029135596066,0.0277014347479502,-0.00940579191531164,0.0251243769978375,-0.0471733115076751,0.0713507467370037,0.0073939525541634,0.127107871436367,0.0358501819479312,0.0251566348690194,0.018795320659454,0.0507296863130116,0.0359085181114322,0.01723220920537,0.0194643642707352,0.0314928623791715,0.0142471792514558,0.0349221503972108,0.0155446466246306,0.0393642283938685,0.181006849551465,0.431877516301703,-0.0471733115076751
