,sem_q_res
0,0.7533066930337651
1,-0.7937129414934649
2,-1.0501946716121449
3,-0.1154424640741325
4,0.5410830819768429
5,0.6483990598838736
6,-0.6643742608360588
7,1.6520483246254272
8,-0.12390006239654727
9,0.189872714927536
10,0.9856264489625518
11,1.5279483843350765
12,-0.07781562512039031
13,0.7550210586335943
14,-0.038692699803429376
15,1.2098041293183552
16,-1.9367664780636462
17,-0.34640275688264455
18,0.5657240351302498
19,1.3826851340792767
20,-0.49165901238295445
21,1.3280435370555916
22,-2.964778000088659
23,0.8106800989873779
24,-0.09601986519252981
25,-0.8631262144989204
26,-1.0958300456009948
27,-1.8270938429305823
28,1.7867923076216468
29,-2.1149693816671116
30,-3.0489174582596106
31,0.8421931988756872
32,-2.957318611142143
33,-0.7344562180901146
34,3.381051949260527
35,-0.08268639374338482
36,2.946942532659195
37,0.0014549475672311907
38,-0.7501408466713685
39,1.0005006852960976
40,-0.5242870926037071
41,-0.5462859936949016
42,0.1324949930886796
43,2.218607996205118
44,-2.361404840967695
45,1.905875920638226
46,0.8264623534290101
47,1.4862126811670513
48,-0.41827459826679436
49,-0.46188614804247846
50,0.29823630551799385
51,1.027564613274842
52,-0.2580564035784232
53,0.5468639371237476
54,1.6974410508828828
55,1.2711270242254693
56,1.3465069921823944
57,0.4380814896778992
58,1.4383503218789184
59,-0.8806265161072321
60,-0.8585129112289301
61,0.5096063397102055
62,0.13884931772013942
63,-0.7513820644669402
64,1.154974890042411
65,1.6622367386881982
66,-1.6524409551173596
67,-1.6929266131756338
68,-2.2071996140726924
69,0.3914736717365952
70,-2.548371857219758
71,-0.8735075392991398
72,-0.8475044647879676
73,0.5737556570281006
74,-4.434107170547341
75,-0.5167749960111254
76,-4.27868771612607
77,-0.7454849788998116
78,0.9498449420013986
79,-0.590761885013434
80,1.4011972401914627
81,0.08259339502471102
82,-0.35892923744116156
83,0.13820781250485434
84,-0.7042072137411379
85,0.9030202711281833
86,1.7194922524494198
87,0.47027854476684583
88,0.6066577909649906
89,1.1678890309144545
90,-1.3882085810438058
91,1.7723230618834505
92,0.2147753117759943
93,0.28537761939342854
94,0.8442972157476689
95,-1.2747071885197325
96,-1.0187656427695087
97,-0.1688631528608373
98,1.5875502505026513
99,1.20629916907124
100,0.010005264424306395
101,0.8568961960728226
102,0.6294458840652222
103,-1.3379889802058624
104,1.83547779777674
105,0.7849170523489442
106,-0.9314209344049269
107,-1.6340976890452645
108,-3.219666193076359
109,2.5642228148844666
110,-2.8281636033757684
111,3.559402656450327
112,-1.6455327370742696
113,1.1429145672416963
114,-0.9882009610416498
115,-1.424479289950606
116,-1.7386584150774338
117,-0.6883214171191178
118,-1.8212638722300407
119,-3.352227137805155
120,-1.1956443007229831
121,0.33534187535368765
122,-0.42957202666104544
123,-0.94321349082244
124,2.263866854357698
125,2.049910628434443
126,-1.0709767972634023
127,0.12189236092536693
128,-0.21644947467905323
129,0.08031485501294855
130,1.4175923504604142
131,0.3794126858520196
132,2.702180705283945
133,0.04035869898283906
134,0.014380002933265357
135,1.2211297513697281
136,0.30588593493665317
137,1.5358286104890766
138,-0.6235561202129207
139,-0.5012149941225853
140,-1.071517758068937
141,-0.008015168381681148
142,1.3301402642619438
143,1.218094368503947
144,0.0022032505801117264
145,-2.4181501241028793
146,0.6455019135485016
147,-1.3092952520132948
148,-1.75526407960966
149,-2.267130360767551
150,-5.7473349970833425
151,-1.2643585482576196
152,-0.06526999063588279
153,-1.9206197672798773
154,-1.1945493743957187
155,-4.064532301353081
156,3.5825908638464186
157,2.5495526229346352
158,-2.737221355003401
159,-2.1541170048372043
160,-1.2985633079349035
161,0.5403035303996299
162,-1.767391757924951
163,-0.04733893889436702
164,1.218953482514396
165,-0.13767928684152875
166,0.3094002287418698
167,-0.007148488198553793
168,1.4705938716871771
169,0.2327411887090527
170,-0.2647948438171429
171,-1.4205432319523252
172,0.11679470234974071
173,-0.08711271080257743
174,0.9608872683648393
175,0.5225067410537382
176,2.6992744181491632
177,-0.36701077130662463
178,2.230688594128144
179,-1.3653750118161012
180,0.6759921974793341
181,0.5950961975261886
182,-0.45554056376481994
183,-0.8567981962363018
184,1.138109982665366
185,-3.6481453783726843
186,0.9816207036297688
187,-0.9278327249157285
188,0.4736242694126087
189,-2.7517518216707115
190,1.893357435426087
191,-0.025701536977406292
192,0.46217567608209276
193,-3.7682072568731932
194,1.1209828706791214
195,0.9968842887599473
196,-2.4919247095670234
197,1.3055025260566795
198,1.5190406589479455
199,-2.3248169307191526
200,-3.405795418889157
201,2.0437185769934736
202,1.18846970010759
203,0.5981516182042302
204,1.7866642782912412
205,-0.9854956631600336
206,-0.06764138895005645
207,2.091729180311772
208,-1.0824985777299783
209,-0.20777302504695305
210,2.258871420354946
211,1.2839170099938608
212,-0.5531824260870157
213,0.13782910232802276
