,sem_knn_res
0,-1.9497663532171643
1,0.43099493330298744
2,1.6730740444593772
3,-0.016086322725001323
4,-0.41560353153213125
5,0.08849940559381342
6,-0.15414303350052772
7,0.20504008451152234
8,-0.9388329552402974
9,-0.7930583614857747
10,0.41078947764760176
11,-0.37664077096952875
12,-0.7754942027273242
13,0.9244610058969316
14,-1.2320165358887287
15,-0.38224708158897114
16,0.8473479685208894
17,0.8987628410471173
18,1.4917694649213136
19,1.1682345324491779
20,0.17282847178848387
21,0.5731561440943047
22,-2.1416324604659676
23,0.769838380162911
24,-0.08587324105222449
25,0.1779982804071173
26,-1.9571468265151755
27,-1.55871129373017
28,0.836074617381549
29,0.7274806812303289
30,-1.997102276415464
31,-0.25363358894114074
32,-2.0977895730213296
33,-2.929405113101937
34,1.7422754811369907
35,1.3496474695493448
36,2.3490715076881536
37,1.0003301156865756
38,-3.157927413842515
39,1.8454299485057462
40,-2.1127726716264412
41,-0.09684131760614056
42,-0.22843358303087868
43,-0.18124334425917477
44,-0.3431322777001248
45,1.9155935298656561
46,1.6172157820448574
47,1.3263651138870363
48,2.2932491326630537
49,-1.6445928472703288
50,0.9034998987910936
51,0.04328519083195381
52,2.260642303795166
53,-0.21346253922053304
54,-1.0445083797042476
55,0.7678829062880108
56,0.10617834339411181
57,1.3243862012841023
58,0.1708345517762731
59,-0.8147715553203526
60,-0.5279507713896668
61,-2.156547016188128
62,0.226979489624763
63,0.3618251032258568
64,2.565083464263613
65,3.2294466074983825
66,0.1427046063233144
67,-2.1968933529910206
68,-2.836482675007435
69,0.9969303750049971
70,-0.9817981827101647
71,2.5044183475851782
72,0.529816220310072
73,0.548344429163921
74,-3.9462177832552143
75,-1.873894374154725
76,-4.207346052972986
77,-0.49262690199351544
78,-0.41915021535277197
79,-1.4924934729627837
80,-0.23420502723904757
81,0.7767642902544285
82,0.6875512780085932
83,0.25235845128676193
84,1.308007604438194
85,-0.6283055340590268
86,1.2903744410896878
87,1.2678161665521548
88,-0.11009124876689236
89,0.0505796569610224
90,-0.4417865917630668
91,3.513464982029191
92,-1.3961331838193263
93,-0.021384824950285042
94,-0.3359675569043177
95,2.164074884533388
96,-0.7462028450349102
97,0.2708727801893453
98,-1.496492987494058
99,0.10315139773125986
100,-0.6653311622423039
101,1.4376304651851046
102,1.6258218333587289
103,-1.3390687107180028
104,0.727095745758907
105,1.8817220864512652
106,-2.151275559178074
107,-1.5518814491384623
108,-2.2339633503941556
109,0.9951380699206607
110,0.9651761524828344
111,4.6886889647223935
112,-1.7022894972718614
113,1.1788955986131753
114,-0.8655438270718658
115,-1.2108577827879172
116,-1.098758419340409
117,0.9822714407093625
118,0.01526316504157832
119,-2.3665854670811486
120,-3.430105995327496
121,0.5646673698211547
122,-1.264957059004222
123,-0.0029987730652766276
124,1.3590265128766044
125,0.5087462704462886
126,0.7517031426751412
127,-0.5940281112360197
128,-0.8174352133644667
129,-1.0278839950453926
130,-0.12406024904328705
131,0.4587699291683264
132,1.6460625420518544
133,0.989713437503208
134,-0.9110835798096392
135,-1.9624442997938438
136,0.8276504338661174
137,0.00946145808554516
138,-0.8393903003940746
139,-1.4226830742452221
140,-2.088265711156521
141,1.1276687102410785
142,2.47520026143775
143,0.8643920046925494
144,-0.3634067716925776
145,0.2609809532019076
146,-1.9028874043972142
147,-1.08809359619963
148,-2.6609879722475305
149,-1.1775147645101656
150,-5.092007763101512
151,-2.239863568285397
152,-0.06298549566426415
153,-1.8033774778369456
154,-1.4143483559208543
155,-3.2440039267121854
156,2.1700214644744404
157,-0.6883273077432808
158,-1.06708355525471
159,-2.0983809847087853
160,-0.15438040058639416
161,2.192516502173054
162,1.4074546387010016
163,0.2662827157844165
164,0.46047776617514946
165,-0.7518034487667814
166,-1.808342116586383
167,0.35424321113397617
168,1.6481247314826126
169,0.8744479803605036
170,-0.1364541388758438
171,-0.8120318467453767
172,1.6651245371129493
173,-1.0597295738730104
174,-1.4538436948848696
175,-0.1705088440589927
176,0.34617996751834224
177,0.03367612103525397
178,0.8106787011895202
179,2.3487118217645127
180,-0.3649527687908226
181,3.847403261175249
182,0.12102680020361142
183,0.5877802851525168
184,-0.8082639680905968
185,-3.427646744460699
186,1.791682630726886
187,0.06365236488062598
188,2.3349057430261047
189,-0.5649541605470694
190,0.4122270439818001
191,1.142781582443803
192,0.8069102931929872
193,-1.8127063505191412
194,2.954322820652985
195,2.90459454230094
196,-2.660156213623255
197,2.3064114342773334
198,-1.085799675546347
199,0.2346792694801828
200,-3.2399156412580976
201,-1.018622253256697
202,-1.7894692248835566
203,1.1194350769717683
204,2.154575485989274
205,-1.6777630942677817
206,0.6225566621129915
207,-0.6770996960766152
208,-0.7380230182934158
209,0.9166895523643454
210,-0.4420295833698453
211,0.2287172961392936
212,-0.29702498080384987
213,1.7251987212948097
214,0.785630725752976
215,-0.23734507159544488
216,0.4594424581854022
217,-1.5213920165968007
218,1.6553378109140726
219,-0.9806044108155387
220,-1.170827540139161
221,-0.9847996502953809
222,-0.07596593581827224
223,0.2792550982464966
224,1.8757216148614928
225,0.3428350066983752
226,0.9374189235425205
227,-1.304522484862829
228,0.4170602042511282
229,-2.51369840044392
230,0.17713881186742753
231,-1.1813250885477358
232,-0.07453188688830226
233,-0.4156327488017124
234,-0.8073275857580293
235,3.0314154201221726
236,-0.8561520255534265
237,-1.9792884267051876
238,0.8340864574987426
