"","x"
"(Intercept)",0.0859150466506394
"sex_ratio",-0.0187875437575377
"pct_black",0.558421093439183
"pct_hisp",0.177223174950001
"pct_bach",0.416730578403887
"median_income",-0.158501486949832
"pct_65_over",0.0481893920223486
"pct_age_18_29",0.0010184473032515
"gini",0.0227807890898971
"pct_manuf",-0.0234892060542942
"ln_pop_den",0.242447753225342
"pct_3rd_party",0.174724777334365
"turn_out",-0.0114973497083246
"pct_fb",0.059992871589304
"pct_uninsured",0.0522141980106096
