"","(Intercept)","sex_ratio","pct_black","pct_hisp","pct_bach","median_income","pct_65_over","pct_age_18_29","gini","pct_manuf","ln_pop_den","pct_3rd_party","turn_out","pct_fb","pct_uninsured"
"1",-0.853836884698657,0.00882921950856655,0.228067490488593,-0.0187150879386916,-0.251263155179929,-0.0384570384424198,-0.0518484357158347,0.0416631853431462,-0.0583569898683968,0.0662733610583942,-0.0602101900137766,0.0673043665975018,0.123998890301734,0.0547813845609298,-0.0614894135165684
"4",0.473397632018082,0.0967447248912319,-0.094251368725673,0.013333479645268,0.374662754292318,-0.210784364649372,-0.350481408153988,-0.156134227145185,0.115668655055154,-0.0453521767183319,-0.308808321754893,-0.0855183115114072,0.0171287558439484,-0.0774242986704651,0.295515521099236
"5",-0.451998086513658,0.0163022491091169,0.00715414079966115,-0.0322527533050413,-0.109010912400967,-0.0309648856140156,-0.0268070194261544,-0.0421501789959653,-0.0367283552287729,-0.0355672995403703,0.129767719392627,-0.140303604240426,0.0403977987320716,0.0798672757680415,-0.0942723949559261
"6",0.131862753972675,-0.0200724450491295,0.156273721729888,0.191183626972839,0.21841500400628,0.161703235559267,0.170149202532016,0.0463584410041012,0.060224198818729,0.0321397970464771,-0.234441671645598,0.293028908254048,0.0309593642914996,0.0237464587716234,0.0347949258934505
"8",-0.48197359021829,0.11977553008016,0.108634183144725,0.317195272235994,0.30492036313793,0.0783576034005324,0.0397044406975606,-0.0506519190945211,0.181234580449331,0.111796236434658,-0.131557314529643,0.183774971252336,0.0876428698479335,-0.0739870602781777,0.169426717573137
"9",0.589480131472773,-0.039901810273517,-0.126101924615481,-0.125832162018458,0.0569688210551231,-0.0261899958207382,0.0587609927230348,0.0213190143838823,-0.0384377568763418,-0.007436351874449,0.0389270985008411,0.0212006959079713,-0.0971777919090844,-0.0289413421638769,-0.0170215656789963
"10",0.194821602937122,-0.00573766219285025,-0.0339161213584748,-0.0323955114435126,0.0267340414222582,0.0169753926191212,-0.0125580249177948,-0.000280837732307938,-0.00493223100241636,-0.0391376352421768,-0.0199065790729434,-0.042535816772835,-0.00122591848929001,0.0716766521155916,-0.0195183358047896
"11",0.00442150651505067,-0.000183696851107873,-0.000563658735493489,0.000955106518324962,0.00156257543631088,0.000680905135891543,0.000818253285198054,5.23746284139486e-05,0.000254967548592453,-0.000481159160070029,-0.000215221169648623,0.000174490455990141,-0.000326071828851206,9.87544502417071e-05,-5.3055167791649e-05
"12",-0.366876205434245,-0.00926298646608832,0.149457027120376,0.246564115787077,-0.0125096307270473,-0.0301932383590727,0.0313540611936508,0.0115027851025994,-0.0193615770767359,-0.00653707355158545,0.00837124406287248,0.0984031217212407,0.0967941291668339,-0.120487522460552,0.00904695278002225
"13",-0.62104938504027,0.00165071893321471,0.211974938368921,0.0621823192481718,-0.123859881310782,-0.080077110220705,0.00800510244612275,0.0472323852992064,-0.103781202137547,0.0124716345345262,-0.0405828299512871,0.0878562077536483,0.121145592848763,0.0721374601580808,-0.131729482098797
"16",-0.219630325054587,0.0275392708142968,-0.0670611943185598,-0.12668151650456,0.268056413105585,0.175917978780473,0.102616582279313,-0.187075252282142,0.0976787860032985,-0.0784493549103853,-0.0280361141399832,-0.113280071355607,-0.13542427952414,0.23576393887315,-0.0717431086491172
"17",-0.117241011082973,-0.104482825144255,0.0750727448058214,0.325176861247488,-0.265973416338561,0.281775319791527,0.403269395677188,0.19662076385715,-0.0326379123592564,0.0397964119071427,0.253241115143303,0.0783758364959599,0.0233146041296885,-0.0514773361849228,-0.233363030870444
"18",0.0699794397064988,-0.000808910175831139,-0.032567727860627,0.167571853855782,-0.0527195638074592,0.00792935884374705,-0.00376110969199552,0.0317053461816483,0.0162031647412307,-0.0168336656315376,-0.0048257819864979,-0.161478682985364,-0.0658670414204487,-0.0539116432624035,-0.0764042574057384
"19",0.331796051605339,-0.0746227111685863,-0.154921707328572,-0.197252963877137,-0.288538060125861,0.218132946146255,0.22275814705997,0.136489215230291,-0.0367819413049633,0.0341210711072209,0.402563158422954,0.0480247603972715,-0.0213775236174522,0.0327143400635495,-0.0516418585646001
"20",-0.10558019773133,-0.0128023998035461,-0.0601573482506756,0.0109932229889286,-0.27800464174214,0.0693145695756216,0.116170102759879,0.127041290943558,-0.0460282014438759,0.050500909125924,0.390780144150064,0.0319116360305075,0.0967177552562345,-0.0526648363129223,-0.0283626949724122
"21",-0.235225807940306,-0.0389417394601077,0.0306226747671446,-0.30583348982567,-0.229842625481414,0.135075018849514,0.135181877237356,0.0734710547845125,-0.052456272471458,0.07757659172334,0.101118094057911,0.112653474604752,0.00969470184764454,0.178147500160039,-0.0965365260140238
"22",-1.03772610420501,-0.0112232401098619,0.259315649907832,0.00976194797337288,-0.351630076785113,0.16521551398573,-0.00762757211909169,0.0418209411342316,-0.0088335887132648,0.011690562607995,-0.0370344536741894,-0.0198308418141384,0.152371106138201,0.199094946185962,-0.103175851357682
"23",0.338148599532068,-0.0314359943391398,-0.0631216820501916,-0.0219741380136387,0.0679754527106238,0.056494088729407,0.117631479366082,0.0202983122932916,-0.00417664387797276,-0.000840439751148432,0.0456511789650177,0.0588985880822733,-0.0488548084733922,-0.00346812726421279,-0.0228319673406552
"24",-0.421586711951636,-0.0284590162261836,0.065149778463878,0.0741393330603867,-0.222040622716947,0.209298137227331,0.135463326537403,0.0597968404155432,0.0129996166999563,-0.00159557230480572,0.148387051403016,-0.0376212343054308,0.0413189795455524,0.0906451500984552,-0.106664522916236
"25",1.31413947029274,0.0194398345599782,-0.260570450417382,-0.201448829130316,0.528457261794601,-0.30924955844926,-0.219000268937247,-0.159640745608912,0.00787584597983669,-0.0798818549232434,-0.283636619276978,-0.0448882954584155,-0.181378545725035,-0.107516547599117,0.183958212426873
"26",0.522584255648582,-0.0578989000167276,-0.0568286745935528,0.0451905624389536,0.055346844609062,-0.0326812939099029,0.04922722012223,0.0223177641430417,-0.0544876563312318,-0.0685892595955113,-0.0382331676210683,-0.0531022561014304,-0.0858343444055124,-0.0282565495554196,-0.0897203425279152
"27",0.537044554874531,-0.0467857122321855,-0.0238018346316997,-0.118382936624694,0.175314115617777,-0.0959747314519339,0.00330486477649186,-0.0288446443415975,-0.0691160871492922,-0.0589647255227547,-0.140043782813909,0.0791653458742409,-0.0915207054137779,0.0036216157732202,-0.0192749773680789
"28",-0.938579263207874,-4.63148944746528e-05,0.238948462028318,0.0519813691550165,-0.304954239076951,0.084455964470557,0.0140161831332834,0.0653346181806598,-0.0273679449595314,0.0531097660529131,-0.0119018293514321,0.0391980330189127,0.0897227694169622,0.0738785065467603,-0.0968669902907954
"29",-0.250675741366513,-0.0324987591706404,0.0306085046511027,-0.369533544214777,-0.210776388211803,0.175908254813945,0.0678889044866711,0.0284737416882959,-0.0224273843709266,0.0359943887052466,0.0180257056791544,0.0391804463160427,0.0270430625327858,0.290244891621904,-0.080360146498938
"30",0.469403227491861,0.0162069281429529,-0.220159057747583,0.0671312656755363,0.0110139246218003,-0.216424456162457,-0.064662886053438,0.00497678888047325,-0.0148048572531268,0.0345482535372079,0.333791113458672,-0.00192518805235584,-0.0999213794332187,-0.44623325403617,0.188783004955197
"31",-0.127167929245728,0.00757932902828797,-0.134137127391486,-0.350326531072311,-0.295875638927752,0.0189361453418311,-0.0869835874794655,0.0108823447593788,-0.0159776076118038,0.0378378358563113,0.266756299710046,-0.104566054166555,-0.0102389674168881,0.041925175632293,0.0537999876922682
"32",0.0859698019279211,0.00883358047808179,-0.0375589658131589,0.081727727377231,-0.0458678930222709,0.0406035748154773,-0.00424687868352228,0.0359259935595549,0.0316332643631257,0.00761118984016774,0.0327129808372087,-0.0648269958924862,0.00546014281070876,-0.0195066885362472,0.00551686258562377
